nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio,categoria_id,density_500m,density_1000m,density_2000m,ratio_500m_2km,dist_city_center_km,local_density_1km,cluster_zone,dist_city_center_km^2,dist_city_center_km density_1000m,density_1000m^2,valoracion,puntuacion_std,reviews_std,reviews_bin,valoracion_norm,valoracion_por_cercania
AC Hotel Carlton Madrid,"Paseo de las Delicias, 26, Madrid",28005,4.3,1620.0,"lodging, point_of_interest, establishment",40.4051228,-3.6937021,Alojamiento,1,32,95,452,0.0706401766004415,1.554636400052141,95,0,2.4168943363670814,147.69045800495343,9025.0,4.3,0.3319515152851079,-0.0479223751121636,muchos,0.8278834860406158,2.598758252788647
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28005,4.7,2324.0,"lodging, point_of_interest, establishment",40.419756,-3.709671,Alojamiento,1,116,264,514,0.2252427184466019,0.5958733130502876,264,0,0.355065005205526,157.31055464527591,69696.0,4.7,0.9327696811631656,0.0319170473827173,muchos,0.9655766972081232,6.754102955030771
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28005,4.4,2646.0,"lodging, point_of_interest, establishment",40.420444,-3.706584,Alojamiento,1,144,301,539,0.2666666666666666,0.4687524750385178,301,0,0.2197288828547362,141.09449498659387,90601.0,4.4,0.482156056754623,0.0684345105124781,muchos,0.8623067888324928,7.736230070386978
Hotel Moderno,"Calle del Arenal, 2, Madrid",28005,4.4,2175.0,"lodging, point_of_interest, establishment",40.4170417,-3.7048905,Alojamiento,1,168,295,552,0.3037974683544304,0.0961520449709489,295,0,0.0092452157520953,28.36485326642993,87025.0,4.4,0.482156056754623,0.0150192150649086,muchos,0.8623067888324928,22.43157852701287
Hotel Francisco I,"Calle del Arenal, 15, Madrid",28005,4.5,1738.0,"lodging, point_of_interest, establishment",40.4174456,-3.7075983,Alojamiento,1,134,292,530,0.2523540489642185,0.3294714939116576,292,0,0.1085514653003794,96.20567622220403,85264.0,4.5,0.6323605982241368,-0.0345401991826239,muchos,0.8967300916243696,10.477994613830298
Hotel Madrisol,"Calle de Núñez de Arce, 1, Madrid",28005,3.5,825.0,"lodging, point_of_interest, establishment",40.415849,-3.7011718,Alojamiento,1,155,323,572,0.2705061082024433,0.246350693431527,323,0,0.0606886641541942,79.57127397838325,104329.0,3.5,-0.8696848164710058,-0.1380819502306726,muchos,0.5524970637056014,10.105364494360234
Casa de Asturias,"Calle de Argumosa, 4, Madrid",28005,3.8,2509.0,"restaurant, food, point_of_interest, establishment",40.4081497,-3.699811,Restauración,9,22,179,516,0.0425531914893617,1.0194372892717016,179,0,1.039252386757635,182.47927477963455,32041.0,3.8,-0.4190711920624633,0.0528975774417414,muchos,0.6990840778580911,3.3945626400137643
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28005,4.4,1009.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893,Alojamiento,1,151,316,574,0.2626086956521739,0.2575876674356598,316,0,0.066351406414944,81.3977029096685,99856.0,4.4,0.482156056754623,-0.1172148284422378,muchos,0.8623067888324928,12.304674911059916
AC Hotel Atocha,"Calle de las Delicias, 42, Madrid",28005,4.3,1894.0,"lodging, point_of_interest, establishment",40.4038003,-3.6900165,Alojamiento,1,25,85,379,0.0657894736842105,1.8577847024938696,85,0,3.4513640008202366,157.91169971197894,7225.0,4.3,0.3319515152851079,-0.01684850897069,muchos,0.8278834860406158,2.1963599953164223
Hotel Meninas,"Calle de Campomanes, 7, Madrid",28005,4.3,576.0,"lodging, point_of_interest, establishment",40.41911199999999,-3.70932,Alojamiento,1,122,282,513,0.2373540856031128,0.5333533086853794,282,0,0.2844657518856416,150.405633049277,79524.0,4.3,0.3319515152851079,-0.1663206096074131,muchos,0.8278834860406158,6.789259550763696
Petit Palace Posada del Peine,"Calle de Postas, 17, Madrid",28005,4.4,1191.0,"lodging, point_of_interest, establishment",40.41571,-3.7060284,Alojamiento,1,124,302,540,0.2292051756007393,0.2242327814116878,302,0,0.0502803402596217,67.71829998632973,91204.0,4.4,0.482156056754623,-0.0965745231949816,muchos,0.8623067888324928,13.570497038709949
Abba Madrid Hotel,"Avenida de América, 32, Madrid",28006,4.4,2624.0,"lodging, point_of_interest, establishment",40.438834,-3.672723,Alojamiento,1,22,87,350,0.0626780626780626,3.594765529351797,87,0,12.922339211015904,312.74460105360635,7569.0,4.4,0.482156056754623,0.0659395285595131,muchos,0.8623067888324928,1.1908739445157508
Hotel Zenit Abeba,"Calle de Alcántara, 63, Madrid",28006,4.3,1642.0,"lodging, point_of_interest, establishment",40.4319527,-3.6736068,Alojamiento,1,34,101,391,0.086734693877551,3.0612235158727836,101,0,9.371089414132529,309.18357510315116,10201.0,4.3,0.3319515152851079,-0.0454273931591986,muchos,0.8278834860406158,1.360232827071328
Quirónsalud San José Hospital,"Calle de Cartagena, 111, Madrid",28006,3.0,1759.0,"hospital, health, point_of_interest, establishment",40.4403502,-3.6743248,Salud,10,33,93,343,0.0959302325581395,3.616882546772662,93,0,13.081839357148702,336.37007684985764,8649.0,3.0,-1.620707523818577,-0.0321586255002482,muchos,0.4600564769696065,0.8071280064001146
Hotel NH Madrid Balboa,"Calle de Núñez de Balboa, 112, Madrid",28006,4.3,1233.0,"lodging, point_of_interest, establishment",40.43589,-3.681832,Alojamiento,1,27,135,433,0.0622119815668202,2.8219995081496965,135,0,7.963681223997129,380.969933600209,18225.0,4.3,0.3319515152851079,-0.0918113758302302,muchos,0.8278834860406158,1.471595045792084
Fundación Juan March,"Calle de Castelló, 77, Madrid",28006,4.6,4134.0,"museum, point_of_interest, establishment",40.4311763,-3.6812725,Otros / No categorizado,7,21,157,435,0.0481651376146789,2.4883394051640746,157,0,6.191832995292301,390.6692866107597,24649.0,4.6,0.7825651396936505,0.2371860171493856,muchos,0.9143527663324597,1.7772012398460573
Bikram Yoga Spain ©,"Calle de Maldonado, 52, Madrid",28006,4.1,184.0,"gym, health, point_of_interest, establishment",40.4333952,-3.675692799999999,Comercio / Servicios,2,36,108,405,0.0886699507389162,3.0109455715533953,108,0,9.065793234857004,325.1821217277667,11664.0,4.099999958143261,0.0315424323460791,-0.2107766516784264,normal,0.8026052060987446,1.3179272551837025
Restaurante La Cuchara,"Calle del Conde de Peñalver, 82, Madrid",28006,4.2,2476.0,"cafe, bar, store, restaurant, food, point_of_interest, establishment",40.4329204,-3.674826000000001,Restauración,9,35,109,403,0.0866336633663366,3.0378112790815264,109,0,9.22829736731494,331.1214294198864,11881.0,4.2,0.1817469738155942,0.0491551045122938,muchos,0.8107547877466401,1.3385126212018044
Fundación Carolina,"Plaza del Marqués de Salamanca, 8, 4°, Madrid",28006,4.4,18.0,"point_of_interest, establishment",40.4305239,-3.679170399999999,Otros / No categorizado,7,27,150,433,0.0622119815668202,2.58370101015918,150,0,6.675510909897568,387.55515152387704,22500.0,3.672684891825019,0.482156056754623,-0.2296024245962534,pocos,0.7157978277608599,1.368514926931886
